Hourly measurement data supplied by UK-air on 27/01/2021,,,
All Data GMT hour ending,,,
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect,,,
,,Bristol St Paul's,
Date,Time,Nitrogen oxides as nitrogen dioxide,Status
15/06/2006,01:00:00,No data,V ugm-3
15/06/2006,02:00:00,No data,V ugm-3
15/06/2006,03:00:00,No data,V ugm-3
15/06/2006,04:00:00,No data,V ugm-3
15/06/2006,05:00:00,No data,V ugm-3
15/06/2006,06:00:00,No data,V ugm-3
15/06/2006,07:00:00,No data,V ugm-3
15/06/2006,08:00:00,No data,V ugm-3
15/06/2006,09:00:00,No data,V ugm-3
15/06/2006,10:00:00,No data,V ugm-3
15/06/2006,11:00:00,No data,V ugm-3
15/06/2006,12:00:00,No data,V ugm-3
15/06/2006,13:00:00,No data,V ugm-3
15/06/2006,14:00:00,21,V ugm-3
15/06/2006,15:00:00,17,V ugm-3
15/06/2006,16:00:00,17,V ugm-3
15/06/2006,17:00:00,13,V ugm-3
15/06/2006,18:00:00,15,V ugm-3
15/06/2006,19:00:00,23,V ugm-3
15/06/2006,20:00:00,46,V ugm-3
15/06/2006,21:00:00,40,V ugm-3
15/06/2006,22:00:00,32,V ugm-3
15/06/2006,23:00:00,50,V ugm-3
15/06/2006,24:00:00,46,V ugm-3
16/06/2006,01:00:00,29,V ugm-3
16/06/2006,02:00:00,No data,V ugm-3
16/06/2006,03:00:00,71,V ugm-3
16/06/2006,04:00:00,88,V ugm-3
16/06/2006,05:00:00,118,V ugm-3
16/06/2006,06:00:00,193,V ugm-3
16/06/2006,07:00:00,103,V ugm-3
16/06/2006,08:00:00,52,V ugm-3
16/06/2006,09:00:00,55,V ugm-3
16/06/2006,10:00:00,44,V ugm-3
16/06/2006,11:00:00,36,V ugm-3
16/06/2006,12:00:00,21,V ugm-3
16/06/2006,13:00:00,17,V ugm-3
16/06/2006,14:00:00,23,V ugm-3
16/06/2006,15:00:00,19,V ugm-3
16/06/2006,16:00:00,48,V ugm-3
16/06/2006,17:00:00,63,V ugm-3
16/06/2006,18:00:00,52,V ugm-3
16/06/2006,19:00:00,53,V ugm-3
16/06/2006,20:00:00,53,V ugm-3
16/06/2006,21:00:00,94,V ugm-3
16/06/2006,22:00:00,48,V ugm-3
16/06/2006,23:00:00,61,V ugm-3
16/06/2006,24:00:00,84,V ugm-3
17/06/2006,01:00:00,71,V ugm-3
17/06/2006,02:00:00,No data,V ugm-3
17/06/2006,03:00:00,38,V ugm-3
17/06/2006,04:00:00,46,V ugm-3
17/06/2006,05:00:00,107,V ugm-3
17/06/2006,06:00:00,132,V ugm-3
17/06/2006,07:00:00,76,V ugm-3
17/06/2006,08:00:00,65,V ugm-3
17/06/2006,09:00:00,38,V ugm-3
17/06/2006,10:00:00,31,V ugm-3
17/06/2006,11:00:00,21,V ugm-3
17/06/2006,12:00:00,21,V ugm-3
17/06/2006,13:00:00,17,V ugm-3
17/06/2006,14:00:00,17,V ugm-3
17/06/2006,15:00:00,19,V ugm-3
17/06/2006,16:00:00,17,V ugm-3
17/06/2006,17:00:00,19,V ugm-3
17/06/2006,18:00:00,19,V ugm-3
17/06/2006,19:00:00,19,V ugm-3
17/06/2006,20:00:00,27,V ugm-3
17/06/2006,21:00:00,34,V ugm-3
17/06/2006,22:00:00,34,V ugm-3
17/06/2006,23:00:00,23,V ugm-3
17/06/2006,24:00:00,25,V ugm-3
18/06/2006,01:00:00,23,V ugm-3
18/06/2006,02:00:00,No data,V ugm-3
18/06/2006,03:00:00,23,V ugm-3
18/06/2006,04:00:00,13,V ugm-3
18/06/2006,05:00:00,11,V ugm-3
18/06/2006,06:00:00,11,V ugm-3
18/06/2006,07:00:00,11,V ugm-3
18/06/2006,08:00:00,11,V ugm-3
18/06/2006,09:00:00,15,V ugm-3
18/06/2006,10:00:00,17,V ugm-3
18/06/2006,11:00:00,15,V ugm-3
18/06/2006,12:00:00,15,V ugm-3
18/06/2006,13:00:00,15,V ugm-3
18/06/2006,14:00:00,17,V ugm-3
18/06/2006,15:00:00,19,V ugm-3
18/06/2006,16:00:00,29,V ugm-3
18/06/2006,17:00:00,19,V ugm-3
18/06/2006,18:00:00,21,V ugm-3
