Hourly measurement data supplied by UK-air on 21/11/2021
All Data GMT hour ending
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect
,,"Bristol St Paul's",
Date,Time,"Nitrogen oxides as nitrogen dioxide",Status
2021-11-20,01:00:00,13.3875,N ugm-3
2021-11-20,02:00:00,11.475,N ugm-3
2021-11-20,03:00:00,11.475,N ugm-3
2021-11-20,04:00:00,7.65,N ugm-3
2021-11-20,05:00:00,8.0325,N ugm-3
2021-11-20,06:00:00,10.13625,N ugm-3
2021-11-20,07:00:00,10.13625,N ugm-3
2021-11-20,08:00:00,20.2725,N ugm-3
2021-11-20,09:00:00,35.76375,N ugm-3
2021-11-20,10:00:00,28.87875,N ugm-3
2021-11-20,11:00:00,23.715,N ugm-3
2021-11-20,12:00:00,18.55125,N ugm-3
2021-11-20,13:00:00,19.125,N ugm-3
2021-11-20,14:00:00,22.5675,N ugm-3
2021-11-20,15:00:00,33.66,N ugm-3
2021-11-20,16:00:00,32.5125,N ugm-3
2021-11-20,17:00:00,25.245,N ugm-3
2021-11-20,18:00:00,31.7475,N ugm-3
2021-11-20,19:00:00,23.14125,N ugm-3
2021-11-20,20:00:00,24.28875,N ugm-3
2021-11-20,21:00:00,22.5675,N ugm-3
2021-11-20,22:00:00,21.8025,N ugm-3
2021-11-20,23:00:00,22.185,N ugm-3
2021-11-20,24:00:00,22.95,N ugm-3



End
